/ && GET,avg,
148.2195121951221,148.2195121951221,
142.51256281407018,142.51256281407018,
139.1237113402061,139.1237113402061,
137.06806282722533,137.06806282722533,
137.06806282722533,137.06806282722533,
138.5051546391753,138.5051546391753,
132.02702702702754,132.02702702702754,
117.96511627906999,117.96511627906999,
118.46820809248501,118.46820809248501,
118.5549132947976,118.5549132947976,
118.29479768786189,118.29479768786189,
120.76271186440636,120.76271186440636,
123.86740331491741,123.86740331491741,
123.86740331491741,123.86740331491741,
121.01694915254268,121.01694915254268,
110.67796610169495,110.67796610169495,
99.90398818316095,99.90398818316095,
99.01591895803182,99.01591895803182,
98.08022922636101,98.08022922636101,
97.9944289693593,97.9944289693593,
97.9944289693593,97.9944289693593,
97.41176470588233,97.41176470588233,
97.41176470588233,97.41176470588233,
98.32282471626735,98.32282471626735,
97.45646766169156,97.45646766169156,
96.3837638376384,96.3837638376384,
96.73594132029342,96.73594132029342,
98.17283950617286,98.17283950617286,
107.72727272727256,107.72727272727256,
107.72727272727256,107.72727272727256,
123.97129186602857,123.97129186602857,
126.5876777251184,126.5876777251184,
142.8372093023258,142.8372093023258,
141.33971291866038,141.33971291866038,
122.07692307692301,122.07692307692301,
110.6578947368429,110.6578947368429,
110.6578947368429,110.6578947368429,
99.55429955591443,99.55429955591443,
109.08108108108043,109.08108108108043,
118.33333333333314,118.33333333333314,
118.91959798994988,118.91959798994988,
119.72499999999974,119.72499999999974,
119.80000000000013,119.80000000000013,
122.09359605911371,122.09359605911371,
124.02912621359253,124.02912621359253,
124.02912621359253,124.02912621359253,
127.74647887323952,127.74647887323952,
133.51351351351366,133.51351351351366,
136.93832599118923,136.93832599118923,
143.27856850576003,143.27856850576003,
155.41740279961414,155.41740279961414,
181.0658331650619,181.0658331650619,
195.11867549042375,195.11867549042375,
203.56826034423207,203.56826034423207,
202.31302022290828,202.31302022290828,
210.8605088686802,210.8605088686802,
229.5422011020396,229.5422011020396,
242.8846575474306,242.8846575474306,
243.83542082341208,243.83542082341208,
278.3633583774386,278.3633583774386,
294.708775583601,294.708775583601,
300.52744072044555,300.52744072044555,
313.11136116788146,313.11136116788146,
295.13591528210793,295.13591528210793,
310.84347620796376,310.84347620796376,
288.8067437573345,288.8067437573345,
244.61468168482384,244.61468168482384,
225.40620340417559,225.40620340417559,
225.82758476939813,225.82758476939813,
242.11414140223883,242.11414140223883,
256.27772609182654,256.27772609182654,
248.10930288928725,248.10930288928725,
238.42024728348957,238.42024728348957,
246.14873713218557,246.14873713218557,
330.5604521760263,330.5604521760263,
370.77470691051013,370.77470691051013,
308.10868417134105,308.10868417134105,
310.4815511419528,310.4815511419528,
280.98795178696196,280.98795178696196,
269.69902428128154,269.69902428128154,
283.0760561923071,283.0760561923071,
271.04812295338326,271.04812295338326,
279.99370809834704,279.99370809834704,
267.6485852720252,267.6485852720252,
279.67035469640297,279.67035469640297,
291.3834560275143,291.3834560275143,
270.41253355597917,270.41253355597917,
287.3166000802002,287.3166000802002,
283.05821573066623,283.05821573066623,
262.86764705882507,262.86764705882507,
222.3913043478266,222.3913043478266,
211.27906976744225,211.27906976744225,
204.07079646017664,204.07079646017664,
204.07079646017664,204.07079646017664,
197.5000000000001,197.5000000000001,
161.11111111111077,161.11111111111077,
142.64705882352928,142.64705882352928,
135.49999999999994,135.49999999999994,
119.77272727272782,119.77272727272782,
112.80487804878044,112.80487804878044,
123.70370370370395,123.70370370370395,
129.61038961038972,129.61038961038972,
141.29870129870136,141.29870129870136,
146.84931506849333,146.84931506849333,
169.93341398140674,169.93341398140674,
182.64221658875863,182.64221658875863,
184.04729256267765,184.04729256267765,
154.20033044135408,154.20033044135408,
97.87650828621867,97.87650828621867,
97.85816896307932,97.85816896307932,
