/ && GET,/login && GET,/customers && GET,/category.html && GET,/detail.html?id={} && GET,/cart && DELETE,/cart && POST,/basket.html && GET,avg,unknown
19913.468482843185,24619.574422504666,25675.436606184572,26531.488396510194,22359.58873232278,25599.556506278434,23342.056136859548,22113.411377416494,23210.220391392384,2099.238027863
17237.608616993122,23548.719939697403,25063.3495419917,25764.171659000316,20864.786720839475,25112.277115844205,21653.967697334847,22511.24918317862,22055.066802914913,2185.069378874715
16452.665352503427,22573.842578883356,24939.423212064215,25353.20954604262,20188.16508253535,24797.81272762095,21031.177629693895,22196.902851004135,21523.23238126861,2143.246279538631
14922.14391489618,21816.648175140937,25419.55128384346,25067.665724888255,19169.252699459546,24832.64506143159,19679.013119943877,23052.669064240894,21067.58329502098,2142.475810856078
14042.184067606737,21551.85676235728,24753.59541503767,24556.229244238704,18598.470436010302,24074.570263730682,19158.902003708245,22975.0923422875,20516.79260507968,2127.898132061848
11857.947898850873,20252.676928789646,24572.699371145638,24329.880712099803,17014.924324252614,23437.87605352651,17436.17888584118,23268.186526027435,19469.840417903957,2164.0107087003794
11573.086893026666,19863.208482287948,24253.924855471174,24227.99023100215,16101.806344029712,22904.255458274823,16830.607416252828,23249.395174280013,18983.108593943994,2163.4556958664243
9978.18779800584,18639.986394286236,23237.954526844398,23943.16788142068,14292.543956697444,22081.174139797906,15343.66079034662,23162.619706743317,17834.020648563957,2136.334148246044
9914.357879442083,18143.82903141438,23150.595707753197,23909.884863100873,13729.996792838261,21894.448087946737,14718.53053431553,23089.84489543946,17425.127456271322,2112.965272322708
9839.38091377305,17687.440166970053,22967.948192737145,23894.52241339476,13211.875739884166,21597.11081862043,14452.933585522187,22861.87702346279,17109.631395062614,2112.7776386432497
9644.781433337816,16732.64850681558,22338.395877608633,22866.289756849183,11734.345429791627,20839.810641633336,12980.307663163123,22404.726206103038,15926.217721762809,2090.768623394073
9572.084821505981,16449.122504241423,22149.424360372086,22709.765260917447,11287.314474754126,20612.598858177946,12591.110094798529,22304.01820971948,15611.382321282079,2081.715512627873
