/ && GET,/login && GET,/customers && GET,/category.html && GET,/detail.html?id={} && GET,/cart && DELETE,/cart && POST,/basket.html && GET,avg,unknown
19648.332999351194,25315.78947368421,25895.476856593174,26404.78937603081,22633.268023681907,25662.44610415063,24062.278458697983,23872.18607159049,23650.666967048157,1885.8960636263362
19644.719571064274,25315.78947368421,25899.65437051835,26427.49991189642,22628.016000760897,25663.781477715234,24056.030206258067,23872.467619473082,23662.08408272072,1894.9984987807654
19576.888101372133,25179.257127666344,25834.739596691245,26364.43540913794,22559.213098096378,25972.905291122486,23772.2304563453,24135.595330705306,23857.204282231258,2138.3272265084865
19575.353985322246,25207.39480050053,25838.622218629484,26384.245309801245,22554.380988603072,25973.966994053408,23766.748208483805,24135.216233166677,23868.26688810504,2146.9335079454477
19611.29204400986,25036.429466800495,25698.52300360103,26230.002859090808,22429.614456877727,26000.943448494203,23379.755588113654,24254.164465531147,23752.183469486503,2203.463684320976
19607.280246307597,25049.09336938868,25701.882747240095,26247.589968960863,22425.595461808312,26001.863659779065,23375.01548877544,24254.659500502567,23760.13452105708,2208.888459166501
20065.503411293757,24613.865138652596,25989.213653433864,26611.082131644504,21916.44062629507,25976.690799458956,22799.813614153198,24135.656330328384,23793.149119806934,2367.0141187778736
20061.995883855398,24623.062339998072,25992.06411257379,26623.29151624786,21902.528876468055,25977.484823162587,22795.240011064347,24136.18351822413,23797.253209474453,2366.4157422509597
19147.977344119532,24462.976604559073,25632.967181072625,26470.952207640054,20683.970443315055,25837.668547425685,21833.89735304357,24347.48153744566,23241.776352755765,2303.318563102203
19222.373648875713,24259.733796086366,25760.875859507192,26384.12029097086,19948.371677117982,25931.794718836893,21288.68035812779,24567.516696872182,23058.27295136029,2303.718268058472
18919.72231223672,23895.98713594909,25687.51354768494,26281.933116357126,19714.863501750486,25789.00410397767,21027.142171331507,24182.20342506929,22843.501622596028,2300.7729722865715
19370.76262626263,23454.057941422107,25595.6449078697,26410.76082554764,18541.235292102385,25622.26694244383,20186.185562500774,24875.457265846104,22451.190166419885,2299.3620393797537
19203.53860830528,23172.906045626318,25518.97286700501,26410.70940845353,18279.37885786181,25519.601408949857,19837.889151582174,24828.791134768493,22343.460538927604,2298.493849681221
19024.63714927049,22386.962389754422,25152.891937503155,26241.77931908489,17166.773972438194,25645.56904262754,18806.493811124106,24701.481339031336,22003.41430531555,2279.119651421279
18369.250897867576,21816.641270715314,24872.68855104375,26155.829539987368,16762.31216183574,25454.68434661076,18195.51020641192,24746.608831908838,21537.99862860551,2283.576222592077
17954.84927048261,21077.3141799625,24462.800427350427,25979.9768893527,16200.633756038655,25329.016806429074,17669.69639516132,24460.157834757832,21148.433835111377,2266.7837094357346
17543.63319865318,20915.200886883496,24183.06227920228,25832.36042731645,15433.961159420278,25030.660628930826,17372.754603174595,24454.36790598291,20754.681937509722,2261.3822472805605
17021.30506944446,19944.900641609795,23989.073390313388,25311.937551598767,14195.355385751205,24579.752433333342,16954.688148148165,24186.769066666668,20139.610064905795,2241.3642368965498
16817.379837962966,19846.8402603285,24103.011490978162,25267.141545822644,13902.842721791589,24486.03955555556,16683.465412808655,23998.4413037037,19977.80540954039,2258.3751944711776
15538.000024691359,19378.927575371774,23445.59269269269,24963.452219753577,11963.266087962933,23971.653846153844,13958.939907407412,23589.789694041865,18852.57954028228,2241.088970710831
14957.66253968254,18895.557639318904,23092.116430716436,24824.135350584977,11148.089148809537,23730.967591139022,13019.282458333335,23665.83747786013,18364.004375856653,2241.81438509093
13173.289682539697,17255.476419075054,22232.108417508414,24258.010006245306,9874.276664664385,23277.282900432903,9992.199768835806,23413.362357526992,16962.922412743384,2224.2677948821333
12714.112599206364,16650.536920638304,22036.40893939394,24001.592210389426,9776.411968357635,23005.164384920638,9906.013134636703,23678.536395182942,16487.009180355086,2217.437908096459
9756.10235830037,14388.9330975087,21499.502204301083,23832.09913030888,9458.273912561683,22432.329212086446,9569.307561972972,23562.31246131676,14881.315283577198,2198.091943359284
9689.790595701299,13727.278770364026,21159.975069693348,23390.83333211433,9393.804123854063,22128.594641529082,9499.508303433187,23734.173734463646,14442.04166906061,2208.555853231368
9445.580730948954,12202.356761435556,20768.792510288065,23010.151337207255,9041.48108658897,21299.734147025818,9096.78379650096,23112.952327423765,12711.367808119292,2190.098820139877
9310.909398314321,11403.1708129738,20622.041174603182,22656.890018462585,8954.956666509055,21046.79362193363,8969.524759715128,22914.036623549277,12003.756841279506,2191.851302502414
