unknown,avg
3646.365842696623,3646.365842696623
3950.473465909063,3950.473465909063
4804.77537537534,4804.77537537534
4176.792984934064,4176.792984934064
4157.565925925942,4157.565925925942
3729.6364995602617,3729.6364995602617
3479.684487072575,3479.684487072575
4966.33378048779,4966.33378048779
5174.78314829499,5174.78314829499
4906.20555990603,4906.20555990603
4600.924035369774,4600.924035369774
5249.808191403081,5249.808191403081
5307.414161849696,5307.414161849696
5539.220325833956,5539.220325833956
6608.329055597851,6608.329055597851
5883.1637078651775,5883.1637078651775
5127.020313565106,5127.020313565106
4958.049904519418,4958.049904519418
4606.84277295286,4606.84277295286
3901.3398593200536,3901.3398593200536
3837.0884274640175,3837.0884274640175
3681.234227405258,3681.234227405258
3177.7277038750653,3177.7277038750653
2783.382322446864,2783.382322446864
2868.184586262851,2868.184586262851
2877.472100656455,2877.472100656455
3108.359590934217,3108.359590934217
3523.048476890763,3523.048476890763
3528.0536196650464,3528.0536196650464
3366.1018715225127,3366.1018715225127
3551.6287347561097,3551.6287347561097
3809.274447513795,3809.274447513795
3712.998950870004,3712.998950870004
3797.155203045701,3797.155203045701
3844.580904012195,3844.580904012195
4093.515087538611,4093.515087538611
4841.490346666669,4841.490346666669
4956.865465631936,4956.865465631936
4361.183075280303,4361.183075280303
3874.6195394436863,3874.6195394436863
3830.62447552448,3830.62447552448
4061.115157116445,4061.115157116445
3758.868572714991,3758.868572714991
3804.0880055147054,3804.0880055147054
3100.724454148472,3100.724454148472
3115.048407513263,3115.048407513263
3422.680879466034,3422.680879466034
3589.666132095385,3589.666132095385
3431.6514886164623,3431.6514886164623
3377.405982905984,3377.405982905984
3685.555187908507,3685.555187908507
3578.0576745970884,3578.0576745970884
3369.3581756515423,3369.3581756515423
3384.3119426751523,3384.3119426751523
2961.3720510095577,2961.3720510095577
2997.6088984571225,2997.6088984571225
3018.4162224591328,3018.4162224591328
3153.745201933032,3153.745201933032
3035.924112986562,3035.924112986562
2894.564509940711,2894.564509940711
2687.982076764914,2687.982076764914
2614.935888037319,2614.935888037319
2848.872906657518,2848.872906657518
3058.47273027402,3058.47273027402
3240.4928640619974,3240.4928640619974
3046.5635802469137,3046.5635802469137
2833.304417122041,2833.304417122041
2859.8540593759467,2859.8540593759467
3150.5733770192014,3150.5733770192014
3031.2517734909825,3031.2517734909825
3031.2506890353457,3031.2506890353457
2897.5318838399007,2897.5318838399007
2595.4723911137044,2595.4723911137044
2492.8447978596923,2492.8447978596923
2566.602747252744,2566.602747252744
2895.7212796343865,2895.7212796343865
3014.803432104032,3014.803432104032
3034.332024383324,3034.332024383324
3068.266769366199,3068.266769366199
3000.85050215208,3000.85050215208
