,count
1088,742
1089,729
1090,791
1091,710
1092,575
1093,631
1094,644
1095,646
1096,642
1097,620
1098,718
1099,511
1100,612
1101,706
1102,676
1103,591
1104,539
1105,672
1106,622
1107,608
1108,665
1109,672
1110,706
1111,447
1112,650
1113,733
1114,561
1115,593
1116,616
1117,507
1118,766
1119,704
1120,582
1121,620
1122,725
1123,691
1124,829
1125,652
1126,586
1127,810
1128,797
1129,554
1130,638
1131,578
1132,556
1133,623
1134,531
1135,546
1136,578
1137,637
1138,637
1139,445
1140,575
1141,526
1142,552
1143,718
1144,497
1145,733
1146,623
1147,620
1148,684
1149,623
1150,608
1151,667
1152,541
1153,586
1154,608
1155,620
1156,511
1157,531
1158,597
1159,511
1160,561
1161,657
1162,400
1163,586
1164,507
1165,516
1166,552
1167,593
1168,612
1169,605
1170,612
1171,522
1172,597
1173,702
1174,544
1175,734
1176,486
1177,501
1178,608
1179,531
1180,511
1181,736
1182,652
1183,684
1184,622
1185,751
1186,757
1187,608
1188,657
1189,623
1190,714
1191,637
1192,511
1193,721
1194,526
1195,635
1196,642
1197,509
1198,605
1199,620
1200,684
1201,616
1202,507
1203,578
1204,531
1205,780
1206,659
1207,548
1208,567
1209,567
1210,539
1211,548
1212,586
1213,578
1214,475
1215,586
1216,631
1217,593
1218,616
1219,490
1220,552
1221,590
1222,575
1223,684
1224,537
1225,614
1226,537
1227,437
1228,605
1229,576
1230,561
1231,524
1232,505
1233,623
1234,460
1235,665
1236,727
1237,718
1238,629
1239,652
1240,657
1241,524
1242,575
1243,622
1244,687
1245,608
1246,569
1247,509
1248,569
1249,591
1250,680
1251,680
1252,635
1253,768
1254,482
1255,631
1256,606
1257,699
1258,593
1259,576
1260,669
1261,608
1262,669
1263,561
1264,552
1265,590
1266,554
1267,516
1268,605
1269,622
1270,576
1271,736
1272,695
1273,552
1274,561
1275,578
1276,601
1277,552
1278,548
1279,578
1280,791
1281,576
1282,584
1283,567
1284,497
1285,584
1286,533
1287,629
1288,614
1289,612
1290,569
