/ && GET,/setCurrency && POST,avg
31.925,32.5,64.425
31.925,32.5,64.425
31.925,32.5,64.425
32.3,32.45,64.75
32.3,32.45,64.75
32.475,32.300000000000004,64.775
32.475,32.300000000000004,64.775
32.2,32.35,64.55000000000001
32.2,32.35,64.55000000000001
32.2,32.35,64.55000000000001
32.0,32.375,64.375
32.0,32.375,64.375
32.025000000000006,32.375,64.4
32.025000000000006,32.375,64.4
32.025000000000006,32.375,64.4
32.525,32.2,64.725
32.525,32.2,64.725
32.575,32.275,64.85
32.575,32.275,64.85
33.125,32.675000000000004,65.80000000000001
33.125,32.675000000000004,65.80000000000001
33.125,32.675000000000004,65.80000000000001
33.225,33.225,66.45
33.225,33.225,66.45
33.725,33.525,67.25
33.725,33.525,67.25
33.725,33.525,67.25
34.0,33.725,67.725
34.0,33.725,67.725
34.325,34.575,68.9
34.325,34.575,68.9
34.325,34.575,68.9
34.6,34.550000000000004,69.15
34.6,34.550000000000004,69.15
34.375,34.45,68.825
34.375,34.45,68.825
34.325,34.15,68.475
34.325,34.15,68.475
34.325,34.15,68.475
33.949999999999996,34.35,68.3
33.949999999999996,34.35,68.3
33.475,33.875,67.35
33.475,33.875,67.35
33.475,33.875,67.35
31.175,31.55,62.725
31.175,31.55,62.725
30.925,31.1,62.025000000000006
30.925,31.1,62.025000000000006
28.6,29.125,57.725
28.6,29.125,57.725
28.6,29.125,57.725
27.875,28.075000000000003,55.95
27.875,28.075000000000003,55.95
27.875,28.375,56.25
27.875,28.375,56.25
27.875,28.375,56.25
27.55,27.725,55.275000000000006
27.55,27.725,55.275000000000006
27.2,26.775000000000002,53.975
27.2,26.775000000000002,53.975
27.375,26.900000000000002,54.275000000000006
27.375,26.900000000000002,54.275000000000006
27.375,26.900000000000002,54.275000000000006
29.6,29.525000000000002,59.125
29.6,29.525000000000002,59.125
29.6,29.900000000000002,59.5
29.6,29.900000000000002,59.5
29.6,29.900000000000002,59.5
32.35,31.700000000000003,64.05000000000001
32.35,31.700000000000003,64.05000000000001
33.45,32.875,66.325
33.45,32.875,66.325
33.45,32.875,66.325
33.275,32.375,65.65
33.275,32.375,65.65
31.250000000000004,32.225,63.47500000000001
31.250000000000004,32.225,63.47500000000001
31.025000000000002,32.050000000000004,63.075
31.025000000000002,32.050000000000004,63.075
31.025000000000002,32.050000000000004,63.075
31.25,31.650000000000002,62.900000000000006
31.25,31.650000000000002,62.900000000000006
31.05,31.150000000000002,62.2
31.05,31.150000000000002,62.2
31.05,31.150000000000002,62.2
31.425,31.450000000000003,62.875
31.425,31.450000000000003,62.875
31.0,31.200000000000003,62.2
31.0,31.200000000000003,62.2
29.85,30.475,60.325
29.85,30.475,60.325
29.85,30.475,60.325
29.975,30.575000000000003,60.550000000000004
29.975,30.575000000000003,60.550000000000004
32.6,31.625,64.225
32.6,31.625,64.225
32.6,31.625,64.225
33.175000000000004,33.0,66.17500000000001
33.175000000000004,33.0,66.17500000000001
33.9,33.325,67.225
33.9,33.325,67.225
33.9,33.325,67.225
34.1,33.6,67.7
34.1,33.6,67.7
33.75,33.725,67.475
33.75,33.725,67.475
34.074999999999996,34.0,68.07499999999999
34.074999999999996,34.0,68.07499999999999
34.074999999999996,34.0,68.07499999999999
35.075,34.875,69.95
35.075,34.875,69.95
35.12500000000001,35.275,70.4
35.12500000000001,35.275,70.4
35.12500000000001,35.275,70.4
34.625,35.025,69.65
34.625,35.025,69.65
34.625,34.225,68.85
34.625,34.225,68.85
34.075,34.2,68.275
34.075,34.2,68.275
34.075,34.2,68.275
34.150000000000006,34.125,68.275
34.150000000000006,34.125,68.275
34.175000000000004,33.4,67.575
34.175000000000004,33.4,67.575
34.175000000000004,33.4,67.575
33.6,33.0,66.6
33.6,33.0,66.6
33.125,32.95,66.075
33.125,32.95,66.075
33.300000000000004,32.9,66.2
33.300000000000004,32.9,66.2
33.300000000000004,32.9,66.2
33.35,33.300000000000004,66.65
33.35,33.300000000000004,66.65
33.125,32.65,65.775
33.125,32.65,65.775
33.125,32.65,65.775
32.85,32.65,65.5
32.85,32.65,65.5
31.725,31.475,63.2
31.725,31.475,63.2
31.725,31.475,63.2
31.650000000000002,32.025,63.675
31.650000000000002,32.025,63.675
31.575000000000003,31.950000000000003,63.525000000000006
31.575000000000003,31.950000000000003,63.525000000000006
